word	mapping
time	time_001 time_002 time_003 time_004
tired	tired_001 tired_002 tired_003 tired_004
today	today_001 today_002 today_003 today_004
tomorrow	tomorrow_001 tomorrow_002 tomorrow_003 tomorrow_004
tonight	tonight_001 tonight_002 tonight_003 tonight_004
too	too_001 too_002 too_003
top	top_001 top_002
town	town_001 town_002 town_003 town_004 town_004 town_005
tracks	tracks_001 tracks_002 tracks_003
traffic	traffic_001 traffic_002 traffic_003 traffic_004
train	train_001 train_002 train_003 train_004
translated	translated_001 translated_002
travel	travel_001 travel_002 travel_003
tree	tree_001 tree_002 tree_003
true_friend	true_friend_001 true_friend_002 true_friend_003 true_friend_004 true_friend_005 true_friend_006
trurth	truth_001 truth_001
try	try_001 try_002 try_003 try_004
tuesday	tuesday_001 tuesday_002 tuesday_003 tuesday_004
turn	turn_001 turn_002 turn_003 turn_004 
tv	tv_001 tv_002 tv_003 tv_004
u	u_001 u_001
uncle	uncle_001 uncle_002
under	under_001 under_002 under_003
understand	understand_001 understand_002
undesirable	no_001 no_002 like_001 like_002
undone	undone_001 undone_002 undone_003
unnecessarily	unnecessarily_001 unnecessarily_002 unnecessarily_003 unnecessarily_004
up	up_001 up_002 up_003
upright	upright_001 upright_002
us	us_001 us_002 us_003 us_004 us_005
us	me_001 me_001
use	use_001 use_002 use_003
utmost	utmost_001 utmost_002
v	v_001 v_001
vacate	vacated_001 vacated_002 vacated_003
valleys	valleys_001 valleys_002 valleys_003 valleys_004 
vase	vase_001 vase_002 vase_003 vase_004
view	view_001 view_002 view_003 view_004
visit	visit_001 visit_001
vote	voted_001 voted_001
w	w_001 w_001
walk	walk_001 walk_002 walk_003 walk_004 walk_005
wallet	wallet_001 wallet_002 wallet_003
want	like_001 like_002
war	war_001 war_002 war_003 war_004 
wash	wash_001 wash_002 wash_003 wash_004 wash_005 wash_006
wash_clothes	wash_clothes_001 wash_clothes_002 wash_clothes_003 wash_clothes_004 wash_clothes_002 wash_clothes_003 wash_clothes_004
waste	waste_001 waste_002 waste_003
watch	watch_001 watch_001
water	water_001 water_002
ways	ways_001 ways_002 
we	we_001 we_002 we_003 we_004
weak	weak_001 weak_002 weak_003 
wear	wear_001 wear_002 wear_003 wear_004
weather	weather_001 weather_002 weather_003 weather_004 weather_005 weather_006 weather_007
wedding	wedding_001 wedding_002
wednesday	wednesday_001 wednesday_002 wednesday_003
went	went_001 went_002 went_003
west_indies	west_indies_001 west_indies_002 
whale	whale_001 whale_002 whale_003 whale_004 
what	what_001 what_002
when	when_001 when_002
where	where_001 where_002 where_003
wherever	wherever_001 wherever_002 wherever_003 
which	which_001 which_002 which_003 which_004 which_005 which_006
white	white_001 white_001
why	why_001 why_002 why_003
widely	widely_001 widely_002 widely_003 
will	will_001 will_002 will_003 will_004
will be	come_001 come_002 come_003
win	won_001 won_001
wish	wish_001 wish_002 wish_003 wish_004 wish_005
with	with_001 with_001 
wither	withered_001 withered_002
women	women_001 women_002
wonderful	wonderful_001 wonderful_002 wonderful_003 wonderful_004 wonderful_005
word	word_001 word_002
work	work_001 work_002
world	world_001 world_002 world_003
worm	worm_001 worm_002 worm_001 worm_002
worry	worry_001 worry_002 worry_003 worry_004
worth	worth_001 worth_001
write	write_001 write_002 write_003 write_004 write_005
wrong	wrong_001 wrong_002 wrong_003
x	x_001 x_001
y	y_001 y_002
year	year_001 year_002 year_003 year_004 year_005
yellow	yellow_001 yellow_001
yet	yet_001 yet_001
you	you_001 you_001
young	young_001 young_001
youth	youth_001 youth_002 youth_003 youth_004 youth_005
z	z_001 z_001
